Ime jedi,Avtor,Cas priprave,Cas kuhanja,Skupen cas,Dolzina navodil,Stevilo oseb,Energijska vrednost,Beljakovine,Ogljikovi hidrati,Mascobe,Vlaknine,Vitamin D,CSV
Slivove rezine z drobljencem,M. J.,25,35,60,687,8,818.18,3.36,25.44,11.23,3.23,0.06,slivove-rezine-z-drobljencem
Ajdova kaša z dušenimi jabolki in cimetom,M. J.,5,20,25,1182,2,959.52,1.94,5.3,22.61,2.12,0.0,ajdova-kasa-z-dusenimi-jabolki-in-cimetom
Čičerikin ragu s polento,@barbarellagchef,15,45,60,446,4,217.69,1.59,8.89,0.28,1.93,0.0,cicerikin-ragu-s-polento
Pečena paprika z jajcem,M. J.,10,25,35,1044,4,312.67,4.44,3.63,3.49,1.21,0.67,pecena-paprika-z-jajcem
Narobe obrnjen figov kolač,M. J.,15,70,85,1942,8,1171.85,3.77,35.46,13.35,0.9,0.25,narobe-obrnjen-figov-kolac
Zapečene palačinke z gobami in skuto,M. J.,25,40,65,1607,4,528.31,4.2,11.87,6.04,1.11,0.15,zapecene-palacinke-z-gobami-in-skuto
Krompirjeva solata z jogurtom in gorčico,M. J.,15,35,50,1072,4,284.43,1.32,13.18,0.47,1.63,0.0,krompirjeva-solata-z-jogurtom-in-gorcico
Pečene testenine z gobami in šunko,M.J.,15,35,50,1500,6,1081.69,12.21,35.19,6.51,1.63,0.0,pecene-testenine-z-gobami-in-sunko
Sadni tiramisu v posodici,Sanja Sirk,30,0,30,1309,6,1142.9,6.51,10.37,22.33,0.27,0.66,sadni-tiramisu-v-posodici
Losos iz pečice z maslom; peteršiljem in česnom,M. J.,5,15,20,583,4,1084.16,20.18,0.0,18.95,0.0,0.88,losos-iz-pecice-z-maslom-petersiljem-in-cesnom
Ajdov krapec,M. J.,120,40,160,975,8,750.27,11.26,26.08,2.64,2.53,0.11,ajdov-krapec
Testenine iz enega lonca,@vibrantplate,10,20,30,605,2,580.86,4.26,25.66,1.6,1.46,0.0,testenine-iz-enega-lonca
Osvežilna jogurtova torta z mareličnim moussom (brez peke),M. J.,40,30,70,2664,6,718.06,3.7,23.03,6.81,0.89,0.0,jogurtova-torta-z-marelicnim-moussom-brez-peke
Enostavno jogurtovo pecivo s sadjem,M. J.,15,40,55,564,12,1411.89,4.85,36.12,19.3,2.1,0.18,enostavno-jogurtovo-pecivo-s-sadjem
Sipana ajdova pita z jabolki,Su.S.,20,45,65,822,8,734.21,2.42,16.51,11.5,1.52,0.04,sipana-ajdova-pita-z-jabolki
Paradižnikova rižota s pestom in pečenimi češnjevimi paradižniki,M. J.,15,40,55,1692,4,622.29,2.52,15.73,7.61,1.2,0.0,paradiznikova-rizota-s-pestom-in-pecenimi-cesnjevimi-paradizniki
Narastek s stročjim fižolom,M. J.,15,50,65,1005,4,515.26,6.39,3.61,8.43,1.39,0.46,narastek-s-strocjim-fizolom
Toast rolice z lešnikovim namazom in cimetom,M. J.,10,5,15,803,4,1106.33,9.93,46.11,3.23,2.93,0.02,toast-rolice-z-lesnikovim-namazom-in-cimetom
Pita z mandljevo kremo in marelicami,M. J.,20,55,75,2113,6,1295.87,5.06,32.31,17.22,1.69,0.18,pita-z-mandljevo-kremo-in-marelicami
Zebra cheesecake (brez kuhanja in peke),M. J.,45,0,45,1582,8,1822.59,13.96,48.15,19.66,3.99,0.0,zebrin-cheesecake-brez-kuhanja-in-peke
Piščančje enčilade,@vibrantplate,15,30,45,1398,6,489.74,8.71,8.78,4.42,1.2,0.0,piscancje-encilade
Zdrobovo pecivo s hruškami,M. J.,15,45,60,951,8,1464.19,7.92,56.84,8.91,1.27,0.28,zdrobovo-pecivo-s-hruskami
Kinder pingvin rezine,Su.S.,45,15,60,1260,12,1335.7,9.51,30.78,16.41,1.92,0.91,kinder-pingvin-rezine
Finska palačinka (Pannukakku),M. J.,35,30,65,969,6,1104.91,9.86,29.76,11.37,2.84,0.95,finska-palacinka-pannukakku
Pecivo jajce na oko,M. J.,30,25,55,1798,12,843.7,4.8,28.83,7.01,0.42,0.34,pecivo-jajce-na-oko
Bučkine palačinke s paradižnikom in mocarelo,M. J.,20,10,30,1614,4,640.07,8.13,9.06,8.5,0.65,0.19,buckine-palacinke-s-paradiznikom-in-mocarelo
Creme brulee z limono,Sanja Sirk,10,30,40,1292,4,1447.62,8.9,39.76,15.43,0.0,2.97,creme-brulee-z-limono
Jogurtovo pecivo z borovnicami,M.J.,240,20,260,1844,10,1020.98,6.5,33.6,8.57,0.83,0.55,jogurtovo-pecivo-z-borovnicami
Kumare v smetanovi omaki,Su.S.,5,15,20,533,4,212.38,0.16,4.04,3.42,0.16,0.0,kumare-v-smetanovi-omaki
'Taco' solata,@vibrantplate,20,15,35,750,2,264.55,4.4,3.16,2.74,0.66,0.0,taco-solata
Topla bučkina solata,M. J.,10,10,20,792,4,353.72,1.85,3.7,6.72,0.67,0.0,topla-buckina-solata
Skutino pecivo z breskvami,M. J.,80,40,120,1254,12,859.52,5.55,26.7,7.56,0.47,0.18,skutino-pecivo-z-breskvami
Solata iz bulgurja; zelenjave in tune,M.J.,45,5,50,951,4,512.12,6.22,15.45,3.51,3.44,0.29,solata-iz-bulgurja-zelenjave-in-tune
Galeta z marelicami in mandlji,M. J.,65,40,105,1672,8,1004.54,3.59,27.84,12.35,1.8,0.07,galeta-z-marelicami-in-mandlji
Ingverjeva limonada z meto,T. G.,10,7,17,513,10,26.86,0.12,1.66,0.0,0.31,0.0,ingverjeve-limonada-z-meto
Arašidove energijske kroglice,M. J.,45,0,45,685,4,1661.72,13.35,52.27,21.31,8.24,0.0,arasidove-energijske-kroglice
V papirnatem ovoju pečen losos z zelenjavo,M. J.,10,25,35,1122,4,832.78,16.4,0.96,13.68,0.18,0.7,v-papirnatem-ovoju-pecen-losos-z-zelenjavo
Fritata z blitvo,M. J.,10,27,37,1535,4,441.58,5.87,2.31,7.19,0.58,0.66,fritata-z-blitvo
Testeninska solata s tuno in zelenjavo,Sanja Sirk,20,10,30,700,4,1022.32,11.29,32.23,6.22,1.35,0.41,testeninska-solata-s-tuno-in-zelenjavo
Gibanica gužvara z bučkami,M. J.,45,50,95,1671,6,560.61,4.91,2.53,11.06,0.41,0.14,gibanica-guzvara-z-buckami
Hitra sladica iz piškotov in čokoladnega pudinga,M. J.,30,10,40,1570,12,903.12,6.77,37.2,3.51,1.74,0.53,hitra-sladica-iz-piskotov-in-cokoladnega-pudinga-brez-peke
Solata s pečeno cvetačo in rjavo lečo,@barbarellagchef,10,25,35,439,2,925.38,8.39,14.05,15.09,4.61,0.0,solata-s-peceno-cvetaco-in-rjavo-leco-1
Breskov drobljenec,M. J.,10,50,60,1003,8,957.05,1.84,34.36,8.94,0.83,0.09,breskov-drobljenec
Bučkini špageti s pestom in češnjevimi paradižniki,M. J.,30,0,30,856,4,394.17,5.09,4.39,6.01,1.5,0.0,buckini-spageti-s-pestom-in-cesnjevimi-paradizniki
Hladna kumarična juha z jogurtom,M. J.,15,0,15,1056,4,161.04,0.14,3.6,1.94,0.0,0.0,hladna-kumaricna-juha-z-jogurtom
Francoska maslena krema,M. J.,20,15,35,1312,10,2154.34,2.71,22.8,46.05,0.0,1.35,francoska-maslena-krema
Carski praženec; jajčni sladoled in sadna omaka,Žiga Gabrovec,20,20,40,2066,4,1139.3,7.15,44.93,5.5,0.55,0.92,masterchef-carski-prazenec-jajcni-sladoled-in-sadni-preliv
Mini bučkini polpeti s sirom,Su.S.,10,25,35,547,4,763.87,10.89,10.68,9.15,0.65,0.44,mini-buckine-polpete-s-sirom
Češnjeva pita iz pekača,M. J.,50,45,95,1498,12,981.73,3.23,33.14,9.84,1.56,0.16,cesnjeva-pita-iz-pekaca
Začinjene paradižnikove testenine s čičeriko,M.J.,10,25,35,1400,4,940.9,7.9,36.55,4.0,3.16,0.0,zacinjene-paradiznikove-testenine-s-ciceriko
Mousse iz čokolade z vrtnico; sorbet iz malin z vrtnico; metin žele; makron z malino; sponge cake in ruby čokolada,Bruno Šulman,60,60,120,2487,6,895.08,5.42,23.56,11.86,3.65,0.3,mousse-iz-cokolade-z-vrtnico-sorbet-iz-malin-z-vrtnico-metin-zele-makron-z-malino-sponge-cake-in-ruby-cokolada
Srnin hrbet z zeliščnim čajem; raviol s kostanjevo kremo in prepeličjim rumenjakom; pire rdeče pese; hruška v rdečem vinu,Bruno Šulman,30,30,60,2531,4,585.63,11.45,9.55,5.28,0.95,0.34,srnin-hrbet-z-zeliscnim-cajem-raviol-s-kostanjevo-kremo-in-prepelicjim-rumenjakom-pire-rdece-pese-hruska-v-rdecem-vinu
Mousse krvavice; popečena polenta ajdovih žgancev; žele kozje skute; okisano zelje in ajdove kokice,Bruno Šulman,25,25,50,2065,6,740.44,10.32,26.73,2.88,3.55,0.0,mousse-krvavice-popecena-polenta-ajdovih-zgancev-zele-kozje-skute-okisano-zelje-in-ajdove-kokice
Ameriške palačinke z vanilijevo omako in jagodičevjem,Bruno Šulman,10,30,40,1235,4,813.96,8.53,20.52,6.66,0.0,1.07,ameriske-palacinke-z-vanilijevo-omako-in-jagodicevjem
Jagnječje kronce s tartufovo skorjico in vanilijev pire krompir,Bruno Šulman,20,40,60,1218,3,703.37,11.06,12.48,6.92,1.29,0.0,jagnjecje-kronce-s-tartufovo-skorjico-in-vanilijev-pire-krompir
Grški jogurt z marelicami,Su.S.,10,10,20,588,4,366.39,1.95,16.54,1.27,1.72,0.0,grski-jogurt-z-marelicami
Testenine z avokadovim pestom,M. J.,10,10,20,925,2,981.4,8.05,31.21,8.54,4.76,0.0,testenine-z-avokadovim-pestom
Češnjeve lučke,M. J.,40,0,40,493,6,263.59,1.0,16.0,0.0,2.0,0.0,cesnjeve-lucke
Testenine s šparglji in limono,@barbarellagchef,10,10,20,400,2,572.45,5.06,27.29,0.24,2.12,0.0,testenine-s-sparglji-in-limono
Srnin hrbet z višnjevo omako; kipnik iz indijskih oreščkov in pire sladkega krompirja,Žiga Gabrovec,15,30,45,1157,2,507.81,12.78,4.9,4.73,0.35,0.18,srnin-hrbet-z-visnjevo-omako-kipnik-iz-indijskih-oresckov-in-pire-sladkega-krompirja
Gyoza cmočki iz goveje juhe,Bruno Šulman,45,15,60,1426,2,963.41,7.14,45.29,0.45,1.34,0.0,gyoza-cmocki-iz-goveje-juhe
Beljakova rolada z mascarponejevo kremo in sadjem,M. J.,50,35,85,1868,10,1019.1,2.44,19.66,16.99,0.47,0.0,beljakova-rolada-z-mascarponejevo-kremo-in-sadjem
Kuskus z rakci; paradižnikom in papriko,M. J.,5,10,15,1059,2,256.52,2.76,7.96,1.17,1.03,0.0,kuskus-z-rakci-paradiznikom-in-papriko
Lignji v paradižnikovi omaki,M. J.,10,40,50,767,2,365.68,8.08,5.67,2.88,0.48,0.0,lignji-v-paradiznikovi-oamki
Tortelini v družbi poširanega jajca in kozic,Natalija Palačković,10,35,45,1307,1,461.58,6.61,10.67,3.36,0.23,0.81,tortelini-v-druzbi-posiranega-jajca-in-kozic
Dagnje na buzaro in trtini zvitki z limonino polento,Maša Trubačev,15,15,30,503,1,1425.61,6.21,31.94,18.63,1.77,0.0,dagnje-na-buzaro-in-trtini-zvitki-z-limonino-polento
Testenine s polži in češnjevimi paradižniki,Maša Trubačev,23,7,30,710,1,1249.55,6.06,26.26,17.51,0.67,0.34,testenine-s-polzi-in-cesnjevimi-paradizniki
Brancin; špinačni ravioli s škampi; pinjolin pire in limonin sorbet,Žiga Gabrovec in Kimi Zupančič,45,15,60,2352,2,419.82,6.68,11.05,2.39,0.27,1.3,brancin-spinacni-ravioli-s-skampi-in-pinjolin-pire
Hitro skutino pecivo z malinami in mandlji (pecivo za požrešne sosede),M. J.,15,40,55,1205,8,767.64,7.86,22.58,5.73,1.24,0.45,hitro-skutino-pecivo-z-malinami-in-mandlji-pecivo-za-pozresne-sosede
Ajdove palačinke s piščancem; fižolom in papriko,M.J.,20,20,40,1286,4,765.96,11.6,20.43,5.25,2.85,0.15,ajdove-palacinke-s-piscancem-fizolom-in-papriko
Chia puding s češnjevim kompotom,M. J.,15,18,33,654,2,1118.89,6.1,29.62,13.94,10.45,0.0,chia-puding-s-cesnjevim-kompotom
Pečeni bučkini zvitki z zeliščno skuto v paradižnikovi omaki,M. J.,30,30,60,1061,4,349.74,6.74,4.71,3.09,0.57,0.08,peceni-buckini-zvitki-z-zeliscno-skuto-v-paradiznikovi-omaki
Čokoladni piškoti s kosmiči in arašidovim maslom,M. J.,30,5,35,811,8,1725.15,12.39,57.4,21.51,7.26,0.0,cokoladni-piskoti-s-kosmici-in-arasidovim-maslom
Svinjska lička z gelom kefirja; konfitiran krompir in ribezova omaka s črnim poprom,Bruno Šulman,20,50,70,962,1,324.43,4.95,11.29,0.65,0.93,0.0,svinjska-licka-z-gelom-kefirja-konfitiran-krompir-in-ribezova-omaka-s-crnim-poprom
Trgana svinjska lička; hruška; hren in ocvrto rezančevo testo,Maša Trubačev,35,35,70,1216,2,589.78,7.6,12.7,5.8,1.4,0.4,trgana-svinjska-licka-hruska-hren-in-ocvrto-rezancevo-testo
Široki rezanci z natrgano govedino,@vibrantplate,15,210,225,1151,8,964.79,10.2,14.1,13.66,0.82,0.0,siroki-rezanci-z-natrgano-govedino
Pečene piščančje kroglice s špageti s pestom,M. J.,15,30,45,1324,4,1047.46,15.38,30.4,6.15,1.23,0.09,pecene-piscancje-kroglice-s-spageti-s-pestom
Žarjen brancin in zdrava kvinojca,Bruno Šulman in Natalija Palačković,30,30,60,1531,2,536.05,8.96,16.81,1.87,1.87,1.62,zarjen-brancin-in-zdrava-kvinojca
Torta ledeni veter,M. J.,60,60,120,2338,10,1082.69,5.74,29.41,12.64,0.38,0.69,torta-ledeni-veter
Veganski curry s čičeriko in sladkim krompirjem,M. J.,7,25,32,1025,4,453.21,3.43,14.95,3.34,3.34,0.0,veganski-curry-s-ciceriko-in-sladkim-krompirjem
Limonin kolač z bezgovim sirupom,M. J.,15,50,65,1562,10,1556.49,5.61,43.91,18.95,0.4,0.7,limonin-kolac-z-bezgovim-sirupom
Čičerika s klobaso in papriko,M.J.,10,30,40,1086,4,744.58,7.84,11.76,10.04,2.43,0.0,cicerika-s-klobaso-in-papriko
Preprosto češnjevo pecivo,M.J.,15,30,45,940,8,1239.22,6.61,42.02,10.17,1.02,0.34,preprosto-cesnjevo-pecivo
Jagnječja zarebrnica v vinski omaki; kremna polenta; bučkin pire z limeto,Natalija Palačković,30,45,75,1468,2,151.84,1.17,5.85,0.98,0.0,0.0,jagnjecja-zarebrnica-v-vinski-omaki-kremna-polenta-buckin-pire-z-limeto
Ješprenj z dimljenim svinjskim vratom; pire iz zelene in krompirja; fižolova krema,Kimi Zupančič,60,50,110,1634,4,742.95,6.44,19.17,7.98,3.07,0.0,jesprenj-z-dimljenim-svinjskim-vratom-pire-iz-zelene-in-krompirja-fizolovo-kremo-s-petersiljem-in-hrustek-iz-kranjske-klobase
Sladica B-52,Žiga Gabrovec,20,25,45,1227,1,1429.42,8.54,36.3,15.66,0.0,2.85,sladica-b52
Pečena Aljaska s pomarančo; granatnim jabolkom; brusico in vodko,Kimi Zupančič,45,25,70,1819,2,831.28,7.05,34.99,2.75,0.34,0.17,pecena-aljaska-s-pomaranco-granatnim-jabolkom-brusico-in-vodko
Poširana meringa z limonino kremo; flambiran ananas; kokosova granita; hrustek iz ananasovega soka in ruma,Bruno Šulman,20,30,50,1590,4,808.6,2.86,22.27,9.91,0.31,0.41,meringa-z-limonino-kremo-flambiran-ananas-kokosova-granita-hrustek-iz-ananasovega-soka-in-ruma
Pita s pudingovo kremo in jagodami,M. J.,110,50,160,2633,6,782.16,2.68,24.78,7.56,1.05,0.1,pita-s-pudingovo-kremo-in-jagodami
Fritata s šparglji; feto in češnjevimi paradižniki,M. J.,7,18,25,1192,3,462.12,6.83,2.02,7.59,0.84,0.67,fritata-s-sparglji-feto-in-cesnjevimi-paradizniki
Biskvitna tortica s kolerabinim džemom in kolerabino panna cotto,Natalija Palačković,20,60,80,1361,2,991.57,10.49,32.63,5.05,0.78,0.78,biskvitna-tortica-s-kolerabinim-dzemom-in-kolerabino-panna-cotto
Sardonovi zvitki s sotiranim koromačem in okisanimi kumaricami,Irena Kos Mlakar,15,20,35,590,4,624.92,17.1,1.14,7.06,0.1,0.21,sardonovi-zvitki-s-sotiranim-koromacem-in-okisanimi-kumaricami
