Ime jedi,Avtor,Cas priprave,Cas kuhanja,Skupen cas,Dolzina navodil,Stevilo oseb,Energijska vrednost,Beljakovine,Ogljikovi hidrati,Mascobe,Vlaknine,Vitamin D,CSV
Hitri zavitki s šparglji in pršutom,Su.S.,15,15,30,790,6,523.79,5.35,13.6,4.98,1.41,0.07,zavitki-iz-listnatega-testa-s-sparglji-in-prsutom
Čokoladna torta z gozdnimi sadeži,Su.S.,60,30,90,2204,6,1030.44,4.23,37.89,8.01,2.11,0.07,cokoladna-torta-z-gozdnimi-sadezi
Pica polžki iz kvašenega testa,Sanja Sirk,75,20,95,1042,8,1499.8,14.0,45.4,11.88,2.35,0.0,pizza-polzki-iz-kvasenega-testa
Cheesecake z limono in mascarponejem,M. J.,15,68,83,1675,12,1408.75,5.95,26.49,22.52,0.46,0.31,cheesecake-z-limono-in-mascarponejem
Krompirjev narastek z jajci in šunko,Su.S.,25,80,105,935,4,454.17,5.84,9.09,4.48,1.3,0.32,krompirjev-narastek-z-jajci-in-sunko
Rigatoni z mesom pečenice in zelenjavno omako,Zala Pungeršič,10,30,40,635,2,179.54,0.42,5.86,1.05,0.84,0.0,rigatoni-z-mesom-pecenice-in-zelenjavno-omako
Velikonočna čokoladna pletenica,M. J.,170,35,205,2296,12,1743.56,8.12,42.52,23.92,3.01,0.2,velikonocna-cokoladna-pletenica
Potratna potica s čokolado,Kristina Turk,100,95,195,3262,15,1453.31,8.57,36.34,17.61,2.36,0.32,potratna-potica-s-cokolado
Skutini njoki s šparglji,Su.S.,20,15,35,893,4,604.76,7.91,13.31,5.54,0.99,0.13,skutini-njoki-s-sparglji
Pecivo s pudingom in jagodami,M. J.,30,45,75,1428,20,918.43,3.39,28.17,9.92,0.88,0.35,pecivo-s-pudingom-in-jagodami
Polpeti iz govedine iz juhe,M.H.J.,10,20,30,772,4,536.22,15.78,5.87,2.87,0.26,0.13,polpeti-iz-govedine-iz-juhe
Enolončnica s proseno kašo,M. J.,10,45,55,1332,4,564.25,7.98,13.4,4.34,1.55,0.0,zelenjavna-enoloncnica-z-govedino-in-kaso
Jogurtova torta z borovnicami (brez peke),M. J.,30,15,45,2335,6,989.85,3.94,19.63,15.27,1.26,0.0,jogurtova-torta-z-borovnicami-brez-peke
Bananini mafini z orehi,M. J.,10,25,35,969,8,1281.39,6.02,40.15,13.05,1.45,0.22,bananini-mafini-z-orehi
Zelenjavna enolončnica z naanom,Brina Robinik Kobal,15,25,40,1068,3,714.38,4.82,28.2,3.37,2.84,0.0,masterchef-zelenjavna-enoloncnica-z-naanom
Vanilijeva torta z jagodami,Kristina Turk,45,25,70,1743,10,1249.55,6.06,13.2,24.43,0.32,0.32,sadna-torta-z-vanilijevo-kremo
Piščančji zrezki v parmezanovi omaki s polentno prilogo,Sanja Sirk,10,25,35,1326,4,478.52,8.29,8.51,4.83,0.77,0.0,piscancji-zrezki-v-omaki
Vlivanci s kremno špargljevo omako,Sanja Sirk,15,20,35,1807,4,742.58,6.34,19.21,7.31,1.46,0.29,vlivanci-s-kremno-spargljevo-omako
Dušen regrat z jajci,Su.S.,10,10,20,547,2,563.54,6.54,6.17,8.64,0.99,0.62,dusen-regrat-z-jajci
Pomladno pecivo z jagodami,Sanja Sirk,15,30,45,1040,8,845.71,4.8,39.21,2.34,0.78,0.52,pecivo-z-jagodami
Domače testenine s škampi in sipino čipko,Barbara Nonis,10,28,38,1214,1,862.87,9.35,19.1,8.74,0.41,0.2,masterchef-domace-testenine-s-skampi-in-sipino-cipko
Cvetačni njoki z lososom,Sabina Jeršin,10,29,39,1653,2,538.48,3.51,19.09,4.17,3.4,0.0,cvetacni-njoki-z-lososom
Kruhov narastek s šunko in sirom,M. J.,15,50,65,888,4,941.82,13.85,17.99,9.63,1.13,0.6,kruhov-narastek-s-sunko-in-sirom-1
Testenine z brokolijevim pestom,M.J.,10,12,22,675,4,1181.19,10.46,34.12,11.05,3.42,0.0,testenine-z-brokolijevim-pestom-1387356244
Preprosta jagodna sladica v kozarcu,M. J.,20,0,20,1091,8,693.0,4.83,15.31,8.59,1.16,0.0,preprosta-jagodna-sladica-v-kozarcu
Špinačni žličniki z zdrobom,M. J.,25,20,45,1848,2,817.47,8.86,15.61,9.63,1.35,0.39,spinacni-zdrobovi-zlicniki
Sočno zdrobovo pecivo z rozinami,M.J.,15,50,65,1166,8,863.54,8.63,20.42,9.09,0.4,0.26,socna-skutna-torta-z-rozinami
