Ime jedi,Cena,Promocijska cena
Piščančji paprikaš z bučo,8.83125,8.83125
V pečici pečene polnjene (filane) paprike,12.982,12.982
Zeljne krpice,9.11625,9.11625
Ocvrt stročji fižol,7,7
Drobnjakove palačinke s šunko in smetanovim namazom,13,12.9
Pljukanci z gobovo omako,9.75412,9.75412
Rižota s piščancem; papriko in paradižnikom,7.4975,7.4975
Polnjena svinjska ribica s pečenim krompirjem,9.44,9.44
Zapečene tortilje s piščancem,11.3725,11.3725
Hladna polnjena paprika,8.094,7.744
Toskanska paradižnikova juha s kruhom (Pappa al Pomodoro),5.936,5.936
Jogurtove rezine z bezgom in jagodami,8.31219,8.19369
Počasi pečeno svinjsko pleče s papriko,7.745,7.745
Čokoladni krofki,11.0438,10.8594
Bučkini polpeti s sirom in zelenjavo,11.0495,11.0495
Narastek z ajdovo kašo in piščancem,7.18163,7.18163
Gibanica na hitro ali zmečkana sirnica,8.07933,8.07933
Vegi 'tunin' namaz,13.3119,12.7206
Džuveč riž,9.7935,9.7935
Ratatouille s sirovo omako,13.815,13.815
Piščanec s papriko in rižem v pečici,10.6625,10.6625
Kvašene kumare,11.89,11.32
Čokoladna lazanja,7.44042,7.44042
Stročji fižol v omaki,6.3725,6.3725
Tunin narastek s skuto in sirom,15.7793,15.7793
Borovničeva pita,11.9542,11.9542
Tiramisu rolada,6.19475,6.19475
Riževa skleda z zelenjavo in avokadovim prelivom,19.7912,19.4913
Svinjski zrezki v omaki z ajvarjem,7.96875,7.96875
Njoki po sorentinsko,12,11.8
Piščančje kroglice v omaki s papriko,11.8531,11.8531
Namaz iz belega fižola in pečenega česna,6.90875,6.47125
Pistacijeva rolada z malinami,8.0727,8.0727
Sladek bučkin kruh z lešniki,7.6846,7.6846
Hitro kokosovo pecivo,15.4182,15.4182
Pohane bučke,7,7
Pečene breskve s hrustljavim nadevom,5.85333,5.85333
Bučkini njoki v paradižnikovi omaki,10,10
Mediteranski wrap,15.7212,15.6462
Hitri narastek z bučkami in krompirjem,10,10
Marelična marmelada brez sladkorja,1,1
Čokoladni mafini z malinami,16.1775,15.9546
Poletna testeninska solata,10.3675,10.3675
Mousse z belo čokolado in likerjem,4.795,4.4
Poletna zelenjavna lazanja z bučkami,9,8.9
Pecivo s kislo smetano in marelicami,8.945,8.945
