Ime izdelka,Znamka,Cena,Promocijska cena,Kolicina,Enota,Kategorija
Dnevna krema Weleda,WELEDA,19.59,0,0.001,l, NEGOVALNE KREME; MASKE
Kava Flat White,NESCAFE DOLCE GUSTO,6.49,0,1.0,g, INSTANT KAVA
Zaščita za sedež,FREE ON,7.99,0,1.0,kos, OSTALI PRIPOMOČKI
Posoda za pripravo kave,BODUM,74.9,14.98,1.0,l, POSODA
Bio mleko 2,HIPP,9.29,0,1.0,g, MLEKO V PRAHU
Ročni sesalnik za suho in mokro sesanje,GORENJE,64.9,0,1.0,kos, MALI GOSPODINJSKI APARATI
Žične slušalke z mikrofonom,TRUST,21.99,10.99,1.0,kos, RAČUNALNIŠTVO
Steklenica za vodo,BENETTON,19.98,9.99,0.001,l, POSODA ZA SHRANJEVANJE HRANE
Bio porova juha,NEVO,4.89,0,1.0,g, HLAJENA ZELENJAVNA PRIPRAVLJENA HRANA
Ustna voda Teeth&Gum Defence,LISTERINE,6.79,0,0.001,l, USTNE VODE IN SPRAJI
Barva za lase,BRILLANCE,8.79,0,1.0,kos, BARVE ZA LASE
Gel za prhanje Cream Smooth,NIVEA,5.29,3.69,0.001,l, TUŠIRANJE IN KOPANJE
Olivno olje s črnimi tartufi,ZIGANTE,12.99,0,0.001,l, OLJČNO OLJE
Odstranjevalec vlage,AIR MAX,11.49,0,1.0,g, ODSTRANJEVALCI VONJAV IN VLAGE
Barva za lase,BRILLANCE,8.79,0,1.0,kos, BARVE ZA LASE
Deodorant v spreju Oasis,OLD SPICE,4.19,3.23,0.001,l, DEODORANTI (SPRAYI; STICKI…)
Zobna pasta Expert protection,ORAL B,3.99,2.99,0.001,l, ZOBNE PASTE
Škotski Whiskey,GLENMORANGIE,55.59,0,1.0,l, WHISKEY
Lizika,RELKON,1.69,0,0.001,l, BONBONI 
Pšenični mešani kruh,PEKARNA GROSUPLJE,3.19,2.19,1.0,g, DRUGE VRSTE SVEŽEGA KRUHA
Krompirjevi svaljki,MINUTE,1.89,0,1000.0,g, HLAJENI SVALJKI; NJOKI
Whey Proteini Me:First,ME:FIRST,64.99,45.49,1000.0,g, PREHRANSKA DOPOLNILA
Barvice Colorun,DELI,2.49,1.62,1.0,kos, BARVANJE IN USTVARJANJE
Bio trdi sir Tonko,KMETIJA ŽGAJNAR,28.59,0,250.0,g, POLTRDI SIRI
Škarjice za nohte 03,KISS,12.79,0,1.0,kos, NEGA ROK
Ken Fashionistas,BARBIE,22.99,0,1.0,kos, DOJENČKI IN PUNČKE
Set 5 avtomobilčkov,HOT WHEELS,18.99,0,1.0,kos, VOZILA
Kinetični pesek,KINETIC,19.99,0,1.0,kos, PRIPOMOČKI ZA USTVARJANJE
Kreativni set,NEBULOUS STARS,9.99,7.49,1.0,kos, PRIPOMOČKI ZA USTVARJANJE
Bio sir z rožmarinom,KMETIJA ŽGAJNAR,26.99,0,250.0,g, POLTRDI SIRI
Šampon za lase Micelarni Color,NIVEA,6.29,0,0.001,l, ŠAMPONI
Sveži kozji sir,ŠTEMBERGER,18.39,0,0.25,kos, DRUGE VRSTE SIRA
Ročni brivnik Venus Extra Smooth + 1 nastavek,GILLETTE,11.99,0,1.0,kos, BRIVSKA KOZMETIKA IN GALANTERIJA
Kocke,LEGO,31.99,22.39,1.0,kos, IGRALNE KOCKE
Gel za pomiritev z Aloe Vera,AFRODITA,9.49,6.64,0.001,l, ZAŠČITA PRED SONCEM
Bio sir z baziliko,KMETIJA ŽGAJNAR,26.99,0,250.0,g, POLTRDI SIRI
Budjola,OKUS NAD OKUSI,24.99,0,700.0,g, SUHOMESNATI IN TRAJNI IZDELKI
Elastike za lase,FRANCK PROVOST,3.95,0,1.0,kos, LASNA GALANTERIJA
Pokrov za vlaganje,VETRO,1.29,0,1.0,kos, POSODA ZA SHRANJEVANJE HRANE
Barva za lase,SYOSS BASE LINE,6.99,4.89,1.0,kos, BARVE ZA LASE
Eko univerzalno čistilo,SONETT,7.49,0,1.0,l, EKOLOŠKA ČISTILA
Bio neoluščeno proso,BIOTOP,2.59,0,1.0,g, MLEVSKI IZDELKI (KAŠA; JEŠPRENJ; ZDROB…)
Prigrizek za pse Dental Stick 3v1,VITAKRAFT,2.59,0,1.0,g, POSLASTICE
Kulen,KOŠAKI,24.69,0,500.0,g, SUHOMESNATI IN TRAJNI IZDELKI
Šampon za mačke,VITAKRAFT,4.89,0,0.001,l, OVRATNICE IN POVODCI
Rebrasti pirini njoki,MINUTE,1.79,0,1.0,g, HLAJENI SVALJKI; NJOKI
Dimljeni sir,MERCATOR RID,17.99,0,400.0,g, POLTRDI SIRI
Rum,HAVANA CLUB,15.99,13.99,1.0,l, RUM
Bio poltrdi sir Studenec,KMETIJA ŽGAJNAR,25.49,0,250.0,g, POLTRDI SIRI
Tolminski želodec,MESARIJA KRAGELJ SUŠENE MES.,24.19,0,500.0,g, SUHOMESNATI IN TRAJNI IZDELKI
Šolski copati,MERCATOR COMFORT,8.99,5.39,1.0,kos, COPATI IDR. OBUTEV
Usnjeni copati za otroke,LUMPI,9.99,5.99,1.0,kos, COPATI IDR. OBUTEV
Zvezek A4,ELISA,4.39,3.07,1.0,kos, ZVEZKI
Barva za lase Casting Creme Gloss,LOREAL CASTING,8.99,0,1.0,kos, BARVE ZA LASE
Bio poltrdi sir z drobnjakom Angel,BIO DOBROTE,26.99,0,0.25,kos, POLTRDI SIRI
Slovenske rumene breskve,NERAZPOREJENI ARTIKLI,2.79,0,250.0,g, BRESKVE; NEKTARINE; MARELICE
Nove slovenske hruške,NERAZPOREJENI ARTIKLI,2.69,0,250.0,g, JABOLKA; HRUŠKE
Ričet,MINUTE,7.99,0,1000.0,g, IZDELKI IZ TOPLOTEKE; KONVEKTOMATA
Keksi,DULCETTI,1.19,0,1.0,g, KEKSI NAVADNI; MEŠANI; POLNJENI
Bio rdeča pesa,NATURETA BIO,6.99,0,1.0,g, KONZERVIRANA IN VLOŽENA ZELENJAVA
Slano pecivo s solnim svetom,DOBROTE DOLENJSKE,5.59,0,1.0,g, OSTALO SLANO PECIVO
Suhi jurčki Premium,ZE-GO,7.89,0,1.0,g, OSTALA SUHA ZELENJAVA
Rdeče vino Vladika,AD PLANTAŽE,17.99,0,1.0,l, RDEČA VINA IN ROSE
File lososa,RIO MARE,9.99,0,1.0,g, RIBJE KONZERVE
Igra Detektiv,UNIKATOY,9.99,6.99,1.0,kos, DRUŽABNE IGRE
Nakupovalni voziček,GIMI,24.99,0,1.0,kos, KOPALNIŠKI TEKSTIL
Sveži mehki vaflji,KUCHENMEISTER,2.99,0,1.0,g, RAZNA PECIVA
Whey Proteini Me:First,ME:FIRST,34.99,0,1.0,g, PREHRANSKA DOPOLNILA
Whey Proteini Me:First,ME:FIRST,29.99,0,1.0,g, PREHRANSKA DOPOLNILA
Seme Grah,ROYAL SEEDS,2.49,0,1.0,g, SEMENA IN GNOJILA
Rdeče vino Epoha,AD PLANTAŽE,17.99,0,1.0,l, RDEČA VINA IN ROSE
Prehransko dopolnilo Micelar Casein Me:First,ME:FIRST,63.99,0,1000.0,g, PREHRANSKA DOPOLNILA
Bageta Rustikal Veganska,MEGGLE,1.69,1.49,1.0,g, HLAJENO TESTO
Bonboniera Bouquet,HEIDI,4.99,4.49,1.0,g, BONBONIERE
Bonboniera Bouquete,HEIDI,4.99,4.49,1.0,g, BONBONIERE
Peneče vino,HENNESSY,20.59,0,1.0,l, PENEČA VINA
Peneče vino Vueve Clicquot,VEUVE CLICQUOT,63.39,56.99,1.0,l, PENEČA VINA
Rdeče vino,CAMPO VIEJO,18.99,0,1.0,l, RDEČA VINA IN ROSE
Bio mlečna čokolada,ZOTTER,4.89,0,1.0,g, ČOKOLADA
Naravna gazirana mineralna voda,RADENSKA,0.76,0,1.0,l, GAZIRANE VODE 
Vino,HERGA,11.99,0,1.0,l, RDEČA VINA IN ROSE
Kemični svinčnik,LEPA AFNA,8.29,2.49,1.0,kos, PISALA 
Tamponi,OLEA,0.29,0.09,1.0,kos, DAMSKI VLOŽKI IN TAMPONI
Tamponi,OLEA,0.29,0.09,1.0,kos, DAMSKI VLOŽKI IN TAMPONI
Eko čistilo Almawin Intensive Clean,ALMAWIN,4.89,1.47,1.0,kos, EKOLOŠKA ČISTILA
Laneno olje,KOT DOMA,3.89,0,0.001,l, OSTALE VRSTE OLJA
Tanki domači jušni rezanci,KMETIJA OVSENJAK TOMAŽ,1.79,0,1.0,g, JUŠNI REZANCI IN JUŠNE ZAKUHE
Quercus selection box,QUERCUS,19.99,0,1.0,l, RDEČA VINA IN ROSE
Rose,GUERILA,15.69,0,1.0,l, RDEČA VINA IN ROSE
Marmorna,VINAKRAS,7.49,0,1.0,l, PENEČA VINA
Refošk,K&M,14.29,0,1.0,l, RDEČA VINA IN ROSE
Vino peneče Moet&Chandon rose 0,MOET CHANDON,23.99,0,1.0,kos, PENEČA VINA
Peneče vino Moet & Chandon,MOET CHANDON,55.39,49.79,1.0,l, PENEČA VINA
Champagne Moet&Chandon Rose Imperial,MOET CHANDON,74.19,0,1.0,l, PENEČA VINA
Cabernet sauvignon,VINA ERZETIĆ,39.19,0,1.0,l, RDEČA VINA IN ROSE
Cabernet sauvignon,PIRO,14.39,0,1.0,l, RDEČA VINA IN ROSE
Teran,ŠTOKA,7.49,0,1.0,l, RDEČA VINA IN ROSE
Peneče vino,BOTTEGA VENETA,25.09,0,1.0,l, PENEČA VINA
Držalo za posodo Home,HOME,7.89,2.37,1.0,kos, KUHINJSKI PRIPOMOČKI
Otroški vlažilni robčki Toddies Duo,NIVEA BABY,6.69,0,1.0,kos, POTOVALNI ROBČKI IN VLAŽILNI TOALETNI PAPIR
Žganje Viljamonka,DANA,26.29,0,1.0,kos, ŽGANJE
Oljni gel za prhanje in kopel Olea makadamija,ANGELICA,4.09,0,0.001,l, TUŠIRANJE IN KOPANJE
Mešanica oreščkov nut mix,BIMED,2.39,0,1.0,g, MEŠANICE SUHO SADJE; OREŠČKI;…
Jeruzalemski fižol,SEMENARNA,4.09,0,1.0,kos, SEMENA IN GNOJILA
Žganje Borovničevec 4019 Kržič  0,KRŽIČ,15.29,4.59,1.0,kos, ŽGANJE
Vrečka presenečenja s figurico,SUPERZINGS,0.99,0.3,1.0,kos, FIGURE
Scholl Velvet Smooth nadomestni valji za baterijsko strgalo za stopala Mix,SCHOLL,14.99,1.5,1.0,kos, NEGA NOG; BRITJE IN DEPILACIJA
Zobna ščetka Expert za občutljjive zobe,SENSODYNE,4.29,1.29,1.0,kos, ZOBNE ŠČETKE
Zobna ščetka Expert za ljudi z občutljivimi zobmi,SENSODYNE,4.09,1.23,1.0,kos, ZOBNE ŠČETKE
Plastični kozarci,NEPLAST,2.39,0,1.0,kos, PVC KROŽNIKI; KOZARCI; PRIBOR; SLAMICE
Nočna krema Q 10 Energy Plus,NIVEA,15.09,4.53,0.001,l, NEGOVALNE KREME; MASKE
Nočna krema Cellular anti-age volume filling,NIVEA,18.79,5.64,0.001,l, NEGOVALNE KREME; MASKE
Cvetlično orodje lopatica,GARDEN,2.79,0,1.0,kos, VRTNA GALANTERIJA IN ORODJE
Papirnate serviete Paloma Elite Design,PALOMA ELITE,2.45,0.73,1.0,kos, PAPIRNATE SERVIETE
Balzam za lase v peni Pantene Lively Color,PANTENE,3.59,1.08,0.001,l, BALZAMI
Papirnate serviete Paloma Elite Colour,PALOMA ELITE,2.34,0.7,1.0,kos, PAPIRNATE SERVIETE
Brusilka s palčko za obnohtno kožico,ELITE,2.99,0.9,1.0,kos, NEGA ROK
Odeja iz flanele,HOME,24.98,7.49,1.0,kos, POSTELJNINA IN POSTELJNO PERILO
Dezinfekcijski gel za roke,SAPUNOTEKA,5.69,2.59,0.001,l, PRVA POMOČ (OBLIŽI; POVOJI; GAZE)
Alkoholni gel za roke,PRIMAGEL,1.79,0,0.001,l, PRVA POMOČ (OBLIŽI; POVOJI; GAZE)
Plenice Elite Soft,HUGGIES,4.99,3.99,1.0,kos, PLENICE
Plenice Jumbo Pants 5,HUGGIES,11.59,9.25,1.0,kos, PLENICE
Plenice Jumbo Pants 4,HUGGIES,11.59,9.25,1.0,kos, PLENICE
Globinski čistilni gel za roke Parisienne,PARISIENNE,8.69,4.34,0.001,l, PRVA POMOČ (OBLIŽI; POVOJI; GAZE)
Ženske hlačne nogavice Pompea HBS,POMPEA,4.19,1.26,1.0,kos, NOGAVICE
Čistilna maska za obraz Nivea Peel Of,NIVEA,1.59,0.48,0.001,l, ČIŠČENJE OBRAZA
Ženske hlačne nogavice Pompea HBS,POMPEA,4.19,1.26,1.0,kos, NOGAVICE
Figura beast x morpher,POWER RANGERS,45.99,13.8,1.0,kos, DRUGE IGRAČE
Ročni brivnik Wilkinson Quattro Titanium Precision,WILKINSON,12.99,3.9,1.0,kos, BRIVSKA KOZMETIKA IN GALANTERIJA
Cabetnet shiraz Capris,CAPRIS,11.99,6,1.0,l, RDEČA VINA IN ROSE
Posoda za shranjevanje hrane,KEEEPER,10.99,3.3,1.0,kos, POSODA ZA SHRANJEVANJE HRANE
Cucelj First choice PLUS iz lateksa,NUK,3.99,1.2,1.0,kos, PRIPOMOČKI ZA HRANJENJE
Odstranjevalec insektov v spreju F5,F5,2.49,0.75,0.001,l, VZDRŽEVANJE IN NEGA VOZIL
Album,VESELI VALOVI,1.99,0,1.0,kos, SCANDINAVIA AROUND
Senčnik Rolo Frozen Eksaa110,KAUFMANN,8.19,2.46,1.0,kos, OTROŠKA OPREMA
Vložek za svečo Pax,PAX,5.59,2.8,1.0,kos, NAGROBNA GALANTERIJA
Losion za telo Nivea In-Shower Q10,NIVEA,5.79,1.74,0.001,l, KREME IN LOTIONI
Deodorant climacool sprej,ADIDAS KOZMETIKA,3.09,0.93,0.001,l, DEODORANTI (SPRAYI; STICKI…)
Košarica My style,CURVER,2.99,0,1.0,kos, PRIPOMOČKI ZA SUŠENJE IN LIKANJE PERILA
Košarica My style,CURVER,1.99,0,1.0,kos, PRIPOMOČKI ZA SUŠENJE IN LIKANJE PERILA
Maska za lase Loreal Elseve Extraordinary Oil,LOREAL ELSEVE,6.39,1.92,0.001,l, POSEBNA NEGA LAS; MASKE; KURE
Cvrtnik na vroč zrak Fry Delight,TEFAL,159.88,111.92,1.0,kos, SCANDINAVIA AROUND
Sauvignon,BERCE,13.99,4.2,1.0,l, BELA VINA
Stranski senčnik Frozen,EURASIA,5.29,1.59,1.0,kos, OTROŠKA OPREMA
KASETA NURSERY ESSENTIAL 1/1,TOMMEE TIPPEE,6.09,1.83,1.0,kos, OSTALI PRIPOMOČKI
TT EXPLORA ŠPORTNI LONČEK 300 ML,TOMMEE TIPPEE,10.39,3.12,1.0,kos, PRIPOMOČKI ZA HRANJENJE
Kontaktni žar Tefal GC714812 Optigrill,TEFAL,269.99,81,1.0,kos, MALI GOSPODINJSKI APARATI
Tetra plenice,APOLLO,9.99,3,1.0,kos, OSTALI PRIPOMOČKI
Ženske hlačne nogavice Polzela Comfort Push Up,POLZELA COMFORT PUSH UP,7.59,2.28,1.0,kos, NOGAVICE
Barvice Lepa Afna,LEPA AFNA,9.99,3,1.0,kos, BARVANJE IN USTVARJANJE
Slikanica OKS,MLADINSKA KNJIGA ZALOŽBA,14.95,4.48,1.0,kos, OTROŠKE KNJIGE
Nadomestni valji za baterijsko strgalo za stopala Scholl Velvet Smooth Wet&Dry,SCHOLL,19.99,2,1.0,kos, NEGA NOG; BRITJE IN DEPILACIJA
Elastika,PRINCESSE LILI,2.99,0.9,1.0,kos, LASNA GALANTERIJA
Sponke,PRINCESSE LILI,2.99,0.9,1.0,kos, LASNA GALANTERIJA
Papirnate kape Lumpi,LUMPI,1.69,0.51,1.0,kos, PARTY PROGRAM
Led žarnica,GENERAL ELECTRIC,4.19,1.26,1.0,kos, ŽARNICE
Led žarnica,GENERAL ELECTRIC,11.49,3.45,1.0,kos, ŽARNICE
Ženske hlačne nogavice Pompea HBS,POMPEA,6.99,2.1,1.0,kos, NOGAVICE
Jajčni široki rezanci s špinačo,MARODI,2.89,0,1.0,g, REZANCI
Steklen svečnik,DECORIS,2.99,0.9,1.0,kos, DEKORATIVNI IZDELKI
Posoda za shranjevanje Mam,MAM,6.09,1.83,1.0,kos, PRIPOMOČKI ZA HRANJENJE
Halogena žarnica Home,HOME,4.99,1.5,1.0,kos, ŽARNICE
Posteljna garnitura,MISTRAL HOME,23.99,7.2,1.0,kos, POSTELJNINA IN POSTELJNO PERILO
Zvoćnik BT Elysium L1,ECG,59.99,18,1.0,kos, RAČUNALNIŠTVO
POSODICA TT Z POKROVOM IN ŽLIČKO,TOMMEE TIPPEE,7.59,2.28,1.0,kos, PRIPOMOČKI ZA HRANJENJE
Odeja Summer,RICOMAX,4.99,1.5,1.0,kos, POSTELJNINA IN POSTELJNO PERILO
Otroška steklenička Twistshake Anti-Colic pastelno modra,TWISTSHAKE,8.99,2.7,0.001,l, PRIPOMOČKI ZA HRANJENJE
Otroška steklenička Twistshake Anti-Colic pastelno roza,TWISTSHAKE,8.99,2.7,0.001,l, PRIPOMOČKI ZA HRANJENJE
Duda Twistshake pastelno roza&vVijola 0-6m 2/1,TWISTSHAKE,6.99,2.1,1.0,kos, DUDE; GRIZALA; ROPOTULJE
Duda Twistshake pastelno modra&zelena 0-6m 2/1,TWISTSHAKE,6.99,2.1,1.0,kos, DUDE; GRIZALA; ROPOTULJE
Malvazija Bomarchese&Terre Bianche Cuvee Rouge,VINA DEGRASSI,24.99,7.5,1.0,l, BELA VINA
Otroška steklenička Twistshake Anti-Colic črna,TWISTSHAKE,8.99,2.7,0.001,l, PRIPOMOČKI ZA HRANJENJE
Deodorant Nivea Protect & Care sprej,NIVEA,3.19,0.96,0.001,l, DEODORANTI (SPRAYI; STICKI…)
Maska Urban Skin Detox peel off,NIVEA,2.19,0.66,0.001,l, ČIŠČENJE OBRAZA
Malvazija bomarchese,VINA DEGRASSI,11.79,5.9,1.0,l, BELA VINA
Brivski vložki 6,MAN MAX,4.99,1.5,1.0,kos, BRIVSKA KOZMETIKA IN GALANTERIJA
Grizalo Mam Bite&Relax Phase z držalom,MAM,5.19,1.56,1.0,kos, DUDE; GRIZALA; ROPOTULJE
Micelarni šampon Nivea Baby,NIVEA BABY,6.39,1.92,0.001,l, KOPANJE IN UMIVANJE
Pogrinjek Home Dotty Red,MISTRAL HOME,3.99,1.2,1.0,kos, KUHINJSKI TEKSTIL
Ponev Delimano Stone Legend Copperlux Frypan,DELIMANO,24.9,7.47,1.0,kos, POSODA
Škotski whisky Singleton of Dufftown single malt 12 let,SINGLETON,54.09,0,1.0,l, WHISKEY
Krema za pritrditev zobne proteze Blend A Dent Duo Power,BLEND A DENT,4.49,1.35,1.0,g, DRUGI IZDELKI ZA USTNO NEGO IN HIGIENO
Ženski gel za britje Protect & Shave,NIVEA,5.29,1.59,0.001,l, BRIVSKA KOZMETIKA IN GALANTERIJA
Ženske hlačne nogavice Pompea Vani,POMPEA,3.99,1.2,1.0,kos, NOGAVICE
Pasta zobna Max White Expert White Complete,COLGATE,5.99,1.8,0.001,l, ZOBNE PASTE
Velikonočna darilna vrečka,PAPILU,1.89,0.57,1.0,kos, OVOJNI PAPIR; VREČKE IN TRAKOVI
Človeška Ljubezen,MLADINSKA KNJIGA ZALOŽBA,13.99,4.2,1.0,kos, LEPOSLOVJE
Balzam za ustnice Crayon Coral,LABELLO,5.19,0.52,1.0,g, NEGA USTNIC
Biorazgradljiva nagrobna sveča,GREEN SOLUTION,5.99,1.8,1.0,kos, NAGROBNA GALANTERIJA
Metalni odpirač,-,1.49,0.45,1.0,kos, KUHINJSKI PRIPOMOČKI
Zobna ščetka Sensodyne Sensitive,SENSODYNE,3.99,1.2,1.0,kos, ZOBNE ŠČETKE
Električni sesalnik/puhalnik za listje Matrix EGV 2800,MATRIX,34.99,0,1.0,kos, VRTNA GALANTERIJA IN ORODJE
Topla greda rastlinjak GREEN THUMB GH-019,GREEN THUMB,79.99,0,1.0,kos, VRTNA GALANTERIJA IN ORODJE
Podstavek za kozarce iz plute,-,0.79,0.24,1.0,kos, KUHINJSKI PRIPOMOČKI
Samolepilni lističi za označevanje strani Stick'n 45 x 25 mm,HOPAX,1.59,0.8,1.0,kos, KUVERTE; LISTKI
Solata Lollo Bionda 414,VALENTIN,1.34,0,1.0,kos, SEMENA IN GNOJILA
Škotski Whiskey,BALLANTINE`S,30.99,0,1.0,l, WHISKEY
Prt,RICOMAX,5.99,1.8,1.0,kos, KUHINJSKI TEKSTIL
Pregrinjalo,RICOMAX,16.99,5.1,1.0,kos, POSTELJNINA IN POSTELJNO PERILO
Signal zobna krtačka Babmoo Salt,SIGNAL,2.79,0.84,1.0,kos, ZOBNE ŠČETKE
Pogrinjek,-,1.99,0.6,1.0,kos, KUHINJSKI TEKSTIL
Ženske hlačne nogavice Pompea Vani,POMPEA,3.99,1.2,1.0,kos, NOGAVICE
Okrasna blazina Sherpa,RICOMAX,5.99,1.8,1.0,kos, HIŠNI TEKSTIL
Odeja Coral,RICOMAX,13.99,4.2,1.0,kos, POSTELJNINA IN POSTELJNO PERILO
Šampon za lase,HEAD&SHOULDERS,5.79,1.74,0.001,l, ŠAMPONI
Grafitni svinčnik Staedtler Noris Stylus za tablice,STAEDTLER,2.99,1.5,1.0,kos, PISALA 
Krema za čevlje,ERDAL,2.19,0.66,0.001,l, SREDSTVA ZA ČIŠČENJE IN NEGO OBUTVE
Set za čaj,BUYDIRECT,15.99,4.8,1.0,kos, PORCELAN; KERAMIKA
Čopič za veke,ELITE,6.95,2.09,1.0,kos, TOALETNE TORBICE; KOZMETIČNA GALANTERIJA
Set za nego nohtov Scholl Velvet Smooth Pink,SCHOLL,41.99,21,1.0,kos, NEGA NOG; BRITJE IN DEPILACIJA
Folija Quick Cover s silikonskim trakom za zavijanje,LIVE,2.49,0.1,1.0,kos, OVITKI IN OVOJNI PAPIR ZA ZVEZKE
Kahlica Relax OK Baby,OK BABY,7.99,0,1.0,kos, PRIPOMOČKI ZA NEGO
Briketi za žar,-,3.29,0,1000.0,g, VRTNA GALANTERIJA IN ORODJE
Šampon za lase Nivea Hairmilk,NIVEA,3.69,1.85,0.001,l, ŠAMPONI
Gobica Vileda Inox Clean&Shine 2/1,VILEDA,3.99,1.2,1.0,kos, KRPE; GOBE IN ŠČETKE ZA ČIŠČENJE
Rokavice Vileda Colors 50/1 M/L,VILEDA,15.09,7.55,1.0,kos, ROKAVICE
Krema za obraz Cellular Filler Cushion,NIVEA,19.99,6,1.0,g, NEGOVALNE KREME; MASKE
Kocke,LEGO,32.99,0,1.0,kos, IGRALNE KOCKE
Bio papirnat krožnik,NEPLAST,3.99,1.2,1.0,kos, PAPIRNATA GALANTERIJA
Bio papirnat kozarec,NEPLAST,3.49,1.05,1.0,kos, PAPIRNATA GALANTERIJA
Detergent za strojno pomivanje posode,JAR,17.99,9,1.0,kos, ZA STROJNO POMIVANJE POSODE
Šampon No more tangles,J'S BABY,5.99,1.8,0.001,l, KOPANJE IN UMIVANJE
Plastični kozarci,NEPLAST,1.79,0.54,1.0,kos, PVC KROŽNIKI; KOZARCI; PRIBOR; SLAMICE
Plastični kozarci,NEPLAST,1.79,0.54,1.0,kos, PVC KROŽNIKI; KOZARCI; PRIBOR; SLAMICE
Ščetka zobna Gum & Enamel Extra Soft,ORAL B,5.79,1.74,1.0,kos, ZOBNE ŠČETKE
Flips Clipsy Dini kečap 30g,CLIPSY,0.44,0,1.0,kos, FLIPS
Nočna tolažilna silikonska duda,PHILIPS AVENT,7.99,2.4,1.0,kos, DUDE; GRIZALA; ROPOTULJE
Deodorant Men Deep Amazonia,NIVEA,4.19,2.1,0.001,l, DEODORANTI (SPRAYI; STICKI…)
Eco Active čistilo za steklo,ARF,2.99,0.9,0.001,l, EKOLOŠKA ČISTILA
Čistilo za kopalnico Blic,ARF,2.99,0.9,0.001,l, ČISTILA ZA KOPALNICE  
Kozarec,CERVE,0.89,0.27,0.001,l, OSTALI STEKLENI IZDELKI
Malvazija Riserva,VINA LAGUNA HISTRIA,16.99,5.1,1.0,l, BELA VINA
Pladenj Curver Essentials,CURVER,6.89,0,1.0,kos, KUHINJSKI PRIPOMOČKI
Sprej za velur,ILIRIJA,3.09,0.93,1.0,kos, SREDSTVA ZA ČIŠČENJE IN NEGO OBUTVE
Rokavice za otroke,APOLLO,2.15,0.64,1.0,kos, DODATKI
Košara Alfa 3,CURVER,6.29,0,1.0,kos, PRIPOMOČKI ZA SUŠENJE IN LIKANJE PERILA
Košara Alfa 1,CURVER,2.39,0.72,1.0,kos, PRIPOMOČKI ZA SUŠENJE IN LIKANJE PERILA
Termo posodica za hrano,TWISTSHAKE,29.99,9,0.001,l, OTROŠKA OPREMA
Termo posodica za hrano,TWISTSHAKE,29.99,9,0.001,l, OTROŠKA OPREMA
Pivo Göesser,GOESSER,1.09,0.33,1.0,l, PIVO
Gospodinjske rokavice Vileda Sensitive,VILEDA,2.79,0.84,1.0,kos, ROKAVICE
Vezalke 120-120 bele Totra,TOTRA,2.29,0.69,1.0,kos, VEZALKE; VLOŽKI; ŽLICE ZA OBUTEV
Vezalke 120-90 črne Totra,TOTRA,2.09,0.63,1.0,kos, VEZALKE; VLOŽKI; ŽLICE ZA OBUTEV
Skledica,-,2.39,0.72,1.0,kos, PORCELAN; KERAMIKA
Alu folija,ALUFIX,55.68,0,1.0,kos, RAZLIČNE FOLIJE - ALU; FOLIJE ZA ŽIVILA; ZA PEKO…
Predpasnik za ustvarjanje Ses,SES CREATIVA,7.99,0,1.0,kos, PRIPOMOČKI ZA USTVARJANJE
Dnevnka krema za obraz Cellular Anti-age Volume Filling,NIVEA,18.79,9.39,0.001,l, NEGOVALNE KREME; MASKE
Vzglavnik Eucalyptus,DORMEO,25.99,13,1.0,kos, POSTELJNINA IN POSTELJNO PERILO
Osvežilec zraka,-,6.69,2.01,0.001,l, DEKORATIVNI IZDELKI
Nahrbtnik PJ Masks,PJ MASKS,17.99,0,1.0,kos, ŠOLSKE TORBE; NAHRBTNIKI
Pogrinjek Merry Christmas,-,1.49,0.45,1.0,kos, KUHINJSKI TEKSTIL
Eko čistilo za steklo,ECOVER,5.59,1.68,0.001,l, EKOLOŠKA ČISTILA
Komplet kape in šala z fante,RICOMAX,6.99,2.1,1.0,kos, DODATKI
Torbica za tek z odsevnikom,,5.6,1.68,1.0,kos, TELEFONIJA
Torbica za tek z odsevnim trakom,,5.6,0,1.0,kos, TELEFONIJA
Led žarnica Value,OSRAM,11.89,3.57,1.0,kos, ŽARNICE
Torbica za tek z odsevnim trakom,,5.6,1.68,1.0,kos, TELEFONIJA
Šampon za lase Le Petit Marseiliais s cvetlico&mandljem,LE PETIT MARSEILIAIS,1.79,0.54,0.001,l, ŠAMPONI
Sesalnik z vrečko Philips FC8722/09,PHILIPS,209.99,105,1.0,kos, MALI GOSPODINJSKI APARATI
Večnamenski tiskalnik,CANON,77.99,23.4,1.0,kos, RAČUNALNIŠTVO
Odeja Sherpa Velvet,-,12.99,6.5,1.0,kos, POSTELJNINA IN POSTELJNO PERILO
Lesena škatla z okvirjem za sliko,-,4.99,1.5,1.0,kos, DEKORATIVNI IZDELKI
Lesen pladenj,-,5.99,0,1.0,kos, KUHINJSKI PRIPOMOČKI
LED žarnica General Electric,GENERAL ELECTRIC,5.79,1.74,1.0,kos, ŽARNICE
LED žarnica General Electric,GENERAL ELECTRIC,6.49,4.54,1.0,kos, ŽARNICE
Kavni aparat Gorenje ATCM730T,GORENJE,78.99,0,1.0,kos, MALI GOSPODINJSKI APARATI
Prt,RICOMAX,5.99,0,1.0,kos, KUHINJSKI TEKSTIL
LED žarnica General Electric,GENERAL ELECTRIC,5.79,1.74,1.0,kos, ŽARNICE
