Ime izdelka,Znamka,Cena,Promocijska cena,Kolicina,Enota,Kategorija
Leskovačke pleskavice,AVE GRILL,7.59,5.69,1.0,kos, MLETO MESO
Ingver,S&Z BREZ BZ,4.99,0,250.0,g, DRUGO SVEŽE SADJE IN PAKETI MEŠANEGA SADJA
Sveži njoki,MLINOTEST,2.39,1.67,1.0,g, HLAJENI SVALJKI; NJOKI
Beli kristalni sladkor,MERCATOR,1.29,0,1000.0,g, BELI SLADKOR
Oreščki makadamija,BIMED,3.69,0,1.0,g, OREŠČKI
Bonboni Mix karamel,ŠUMI,9.19,8.25,1000.0,g, BONBONI 
Jodirana fino mleta morska sol,PIRANSKE SOLINE,2.39,0,1000.0,g, SOL 
Domača prekmurska skuta,POMURSKE MLEKARNE,7.79,0,1000.0,g, SKUTE
Cviček PTP,KZ KRŠKO,3.99,0,1.0,l, RDEČA VINA IN ROSE
Ameriški Whiskey,JACK DANIELS,32.59,0,1.0,l, WHISKEY
Alu folija za živila,ALUFIX,4.09,0,1.0,kos, RAZLIČNE FOLIJE - ALU; FOLIJE ZA ŽIVILA; ZA PEKO…
Žvečilni gumi,ORBIT,0.79,0,1.0,g, ŽVEČILNI GUMIJI
Repično olje,CEKIN,2.39,0,1.0,l, RASTLINSKO OLJE
Slovenske kumare,NERAZPOREJENI ARTIKLI,1.29,0.89,250.0,g, BUČKE; JAJČEVCI; KUMARE; BROKOLI; CVETAČA
Mleta kava Brasil,SANTANA,3.19,0,1.0,g, KLASIČNA TURŠKA KAVA
Kanadski Whiskey,CANADIAN SPECIAL OLD,11.99,0,1.0,l, WHISKEY
Nektar,FRUCTAL,1.89,0,1.0,l, POMARANČA
Pršut v kosu,MERCATOR,14.99,0,1000.0,g, SUHOMESNATI IN TRAJNI IZDELKI
Pirina polnozrnata moka,MERCATOR,1.64,0,1000.0,g, DRUGE VRSTE MOKE
Instant kava Classic Kraftig,NESCAFE,8.89,7.11,1.0,g, INSTANT KAVA
Keksi Plazma,PLAZMA,2.99,0,1.0,g, KEKSI NAVADNI; MEŠANI; POLNJENI
Jajčevci,S&Z BREZ BZ,1.99,0,250.0,g, BUČKE; JAJČEVCI; KUMARE; BROKOLI; CVETAČA
